tempo-1(s);elongazione-1(m);tempo-2(s);elongazione-2(m);tempo-3(s);elongazione-3(m);tempo-4(s);elongazione-4(m);tempo-5(s);elongazione-5(m);tempo-6(s);elongazione-6(m)
0.0;0.3184;0.0;0.319;0.0;0.2653;0.0;0.2878;0.0;0.2565;0.0;0.243
0.025;0.3222;0.025;0.3173;0.025;0.267;0.025;0.2878;0.025;0.2536;0.025;0.2457
0.05;0.325;0.05;0.3146;0.05;0.2703;0.05;0.2875;0.05;0.2512;0.05;0.2488
0.075;0.3261;0.075;0.3103;0.075;0.2744;0.075;0.2861;0.075;0.2493;0.075;0.2521
0.1;0.3257;0.1;0.305;0.1;0.279;0.1;0.2841;0.1;0.248;0.1;0.2553
0.125;0.3233;0.125;0.299;0.125;0.284;0.125;0.2813;0.125;0.2475;0.125;0.2583
0.15;0.3194;0.15;0.2926;0.15;0.289;0.15;0.2781;0.15;0.2478;0.15;0.2609
0.175;0.3145;0.175;0.2867;0.175;0.2935;0.175;0.2745;0.175;0.2487;0.175;0.2629
0.2;0.3086;0.2;0.2814;0.2;0.2973;0.2;0.2708;0.2;0.25;0.2;0.2643
0.225;0.3024;0.225;0.2772;0.225;0.3003;0.225;0.2672;0.225;0.2523;0.225;0.2651
0.25;0.2967;0.25;0.2744;0.25;0.302;0.25;0.2639;0.25;0.2547;0.25;0.2651
0.275;0.2918;0.275;0.2733;0.275;0.3026;0.275;0.2612;0.275;0.2574;0.275;0.2644
0.3;0.2882;0.3;0.2739;0.3;0.3018;0.3;0.2592;0.3;0.2605;0.3;0.2629
0.325;0.286;0.325;0.2763;0.325;0.2997;0.325;0.2578;0.325;0.2634;0.325;0.2608
0.35;0.2856;0.35;0.28;0.35;0.2967;0.35;0.2575;0.35;0.2664;0.35;0.2583
0.375;0.2871;0.375;0.285;0.375;0.2926;0.375;0.2581;0.375;0.2688;0.375;0.2553
0.4;0.2902;0.4;0.291;0.4;0.2881;0.4;0.2595;0.4;0.2709;0.4;0.2521
0.425;0.2948;0.425;0.2972;0.425;0.2831;0.425;0.2617;0.425;0.2724;0.425;0.2486
0.45;0.3003;0.45;0.3032;0.45;0.2781;0.45;0.2644;0.45;0.2733;0.45;0.2454
0.475;0.3063;0.475;0.3087;0.475;0.2734;0.475;0.2679;0.475;0.2735;0.475;0.2424
0.5;0.3122;0.5;0.3134;0.5;0.2694;0.5;0.2715;0.5;0.273;0.5;0.2398
0.525;0.3177;0.525;0.3166;0.525;0.2665;0.525;0.2751;0.525;0.272;0.525;0.2376
0.55;0.3219;0.55;0.3182;0.55;0.2646;0.55;0.2787;0.55;0.2701;0.55;0.2362
0.575;0.3249;0.575;0.3181;0.575;0.2638;0.575;0.2818;0.575;0.2679;0.575;0.2353
0.6;0.3261;0.6;0.3163;0.6;0.2643;0.6;0.2844;0.6;0.2653;0.6;0.2351
0.625;0.3257;0.625;0.3129;0.625;0.2662;0.625;0.2863;0.625;0.2624;0.625;0.2358
0.65;0.3233;0.65;0.3081;0.65;0.2692;0.65;0.2876;0.65;0.2593;0.65;0.2371
0.675;0.3194;0.675;0.3024;0.675;0.273;0.675;0.2878;0.675;0.2564;0.675;0.2392
0.7;0.3145;0.7;0.2962;0.7;0.2776;0.7;0.2869;0.7;0.2536;0.7;0.2416
0.725;0.3086;0.725;0.2902;0.725;0.2826;0.725;0.2854;0.725;0.2513;0.725;0.2445
0.75;0.3026;0.75;0.2843;0.75;0.2876;0.75;0.2832;0.75;0.2494;0.75;0.2478
0.775;0.2969;0.775;0.2794;0.775;0.2923;0.775;0.2803;0.775;0.2482;0.775;0.251
0.8;0.2918;0.8;0.276;0.8;0.2962;0.8;0.2769;0.8;0.2477;0.8;0.2543
0.825;0.2882;0.825;0.2738;0.825;0.2996;0.825;0.2733;0.825;0.2477;0.825;0.2574
0.85;0.286;0.85;0.2734;0.85;0.3017;0.85;0.2695;0.85;0.2485;0.85;0.2602
0.875;0.2856;0.875;0.2748;0.875;0.3026;0.875;0.266;0.875;0.2499;0.875;0.2624
0.9;0.2871;0.9;0.2778;0.9;0.3021;0.9;0.2629;0.9;0.2519;0.9;0.264
0.925;0.2902;0.925;0.2821;0.925;0.3004;0.925;0.2605;0.925;0.2545;0.925;0.2649
