"Time (s) Run #1","Position (m) Run #1"
0.000,0.2529
0.050,0.2837
0.100,0.3202
0.150,0.3617
0.200,0.4024
0.250,0.4439
0.300,0.4860
0.350,0.5241
0.400,0.5580
0.450,0.5876
0.500,0.6115
0.550,0.6312
0.600,0.6423
0.650,0.6465
0.700,0.6440
0.750,0.6345
0.800,0.6162
0.850,0.5939
0.900,0.5658
0.950,0.5325
1.000,0.4955
1.050,0.4536
1.100,0.4126
1.150,0.3716
1.200,0.3297
1.250,0.2926
1.300,0.2577
1.350,0.2302
1.400,0.2088
1.450,0.1941
1.500,0.1868
1.550,0.1864
1.600,0.1932
1.650,0.2072
1.700,0.2279
1.750,0.2547
1.800,0.2892
1.850,0.3258
1.900,0.3674
1.950,0.4080
2.000,0.4490
2.050,0.4910
2.100,0.5284
2.150,0.5617
2.200,0.5902
2.250,0.6131
2.300,0.6299
2.350,0.6421
2.400,0.6455
2.450,0.6419
2.500,0.6295
2.550,0.6125
2.600,0.5894
2.650,0.5606
2.700,0.5273
2.750,0.4898
2.800,0.4481
2.850,0.4069
2.900,0.3664
2.950,0.3251
3.000,0.2887
3.050,0.2546
3.100,0.2282
3.150,0.2078
3.200,0.1941
3.250,0.1878
3.300,0.1886
3.350,0.1961
3.400,0.2110
3.450,0.2323
3.500,0.2599
3.550,0.2945
3.600,0.3315
3.650,0.3730
3.700,0.4137
3.750,0.4545
3.800,0.4957
3.850,0.5325
3.900,0.5650
3.950,0.5927
4.000,0.6170
4.050,0.6305
4.100,0.6418
4.150,0.6442
4.200,0.6377
4.250,0.6263
4.300,0.6107
4.350,0.5848
4.400,0.5556
4.450,0.5216
4.500,0.4841
4.550,0.4424
4.600,0.4017
4.650,0.3612
4.700,0.3204
4.750,0.2847
4.800,0.2517
4.850,0.2261
4.900,0.2067
4.950,0.1941
5.000,0.1890
5.050,0.1880
5.100,0.1990
5.150,0.2149
5.200,0.2371
5.250,0.2652
5.300,0.3003
5.350,0.3396
5.400,0.3794
5.450,0.4197
5.500,0.4622
5.550,0.5010
5.600,0.5369
5.650,0.5684
5.700,0.5953
5.750,0.6164
5.800,0.6332
5.850,0.6413
5.900,0.6428
5.950,0.6374
6.000,0.6253
6.050,0.6048
6.100,0.5801
6.150,0.5503
6.200,0.5163
6.250,0.4785
6.300,0.4367
6.350,0.3960
6.400,0.3560
6.450,0.3157
6.500,0.2807
6.550,0.2485
6.600,0.2242
6.650,0.2057
6.700,0.1943
6.750,0.1874
6.800,0.1924
6.850,0.2021
6.900,0.2187
6.950,0.2416
7.000,0.2703
7.050,0.3060
7.100,0.3435
7.150,0.3851
7.200,0.4250
7.250,0.4673
7.300,0.5055
7.350,0.5408
7.400,0.5717
7.450,0.5977
7.500,0.6178
7.550,0.6337
7.600,0.6409
7.650,0.6392
7.700,0.6348
7.750,0.6219
7.800,0.6007
7.850,0.5753
7.900,0.5451
7.950,0.5101
8.000,0.4703
8.050,0.4305
8.100,0.3903
8.150,0.3507
8.200,0.3109
8.250,0.2769
8.300,0.2456
8.350,0.2221
8.400,0.2046
8.450,0.1942
8.500,0.1888
8.550,0.1944
8.600,0.2052
8.650,0.2226
8.700,0.2462
8.750,0.2757
8.800,0.3118
8.850,0.3514
8.900,0.3909
8.950,0.4308
9.000,0.4726
9.050,0.5105
9.100,0.5448
9.150,0.5750
9.200,0.6001
9.250,0.6193
9.300,0.6320
9.350,0.6402
9.400,0.6396
9.450,0.6324
9.500,0.6163
9.550,0.5964
9.600,0.5703
9.650,0.5396
9.700,0.5046
9.750,0.4666
9.800,0.4246
9.850,0.3847
9.900,0.3434
9.950,0.3068
10.000,0.2731
10.050,0.2425
10.100,0.2202
10.150,0.2041
10.200,0.1946
10.250,0.1922
10.300,0.1970
10.350,0.2086
10.400,0.2269
10.450,0.2512
10.500,0.2832
10.550,0.3178
10.600,0.3575
10.650,0.3969
10.700,0.4369
10.750,0.4782
10.800,0.5153
10.850,0.5490
10.900,0.5783
10.950,0.6022
11.000,0.6203
11.050,0.6322
11.100,0.6395
11.150,0.6359
11.200,0.6277
11.250,0.6129
11.300,0.5918
11.350,0.5675
11.400,0.5343
11.450,0.4988
11.500,0.4584
11.550,0.4186
11.600,0.3791
11.650,0.3382
11.700,0.3021
11.750,0.2696
11.800,0.2401
11.850,0.2188
11.900,0.2036
11.950,0.1951
12.000,0.1940
12.050,0.1995
12.100,0.2120
12.150,0.2313
12.200,0.2561
12.250,0.2885
12.300,0.3236
12.350,0.3631
12.400,0.4026
12.450,0.4424
12.500,0.4830
12.550,0.5196
12.600,0.5528
12.650,0.5811
12.700,0.6042
12.750,0.6213
12.800,0.6342
12.850,0.6385
12.900,0.6338
12.950,0.6248
13.000,0.6091
13.050,0.5875
13.100,0.5602
13.150,0.5283
13.200,0.4927
13.250,0.4525
13.300,0.4129
13.350,0.3736
13.400,0.3333
13.450,0.2976
13.500,0.2662
13.550,0.2376
13.600,0.2171
13.650,0.2029
13.700,0.1956
13.750,0.1953
13.800,0.2019
13.850,0.2156
13.900,0.2353
13.950,0.2614
14.000,0.2947
14.050,0.3296
14.100,0.3698
14.150,0.4088
14.200,0.4482
14.250,0.4887
14.300,0.5247
14.350,0.5567
14.400,0.5842
14.450,0.6063
14.500,0.6224
14.550,0.6342
14.600,0.6374
14.650,0.6339
14.700,0.6217
14.750,0.6052
14.800,0.5828
14.850,0.5552
14.900,0.5228
14.950,0.4869
15.000,0.4463
15.050,0.4067
15.100,0.3679
15.150,0.3282
15.200,0.2933
15.250,0.2606
15.300,0.2352
15.350,0.2157
15.400,0.2025
15.450,0.1964
15.500,0.1974
15.550,0.2048
15.600,0.2194
15.650,0.2401
15.700,0.2689
15.750,0.3002
15.800,0.3358
15.850,0.3762
15.900,0.4149
15.950,0.4562
16.000,0.4942
16.050,0.5293
16.100,0.5606
16.150,0.5870
16.200,0.6082
16.250,0.6231
16.300,0.6340
16.350,0.6341
16.400,0.6317
16.450,0.6206
16.500,0.6013
16.550,0.5782
16.600,0.5497
16.650,0.5171
16.700,0.4807
16.750,0.4403
16.800,0.4010
16.850,0.3622
16.900,0.3231
16.950,0.2890
17.000,0.2572
17.050,0.2328
17.100,0.2145
17.150,0.2025
17.200,0.1974
17.250,0.1991
17.300,0.2079
17.350,0.2233
17.400,0.2445
17.450,0.2717
